_id,apk_name,package_name,ml_permission,ml_origin,ml_plugin,ml_virus,malicious,undetected,malware
{'$oid': '6080b68132fda25f88a14620'},Hotel Seefelderhof_0.0.8.apk,at.generalsolutions.contwise.maps.hotel_seefelderhof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14621'},Hotel Zirm_0.0.8.apk,at.generalsolutions.contwise.maps.zirm,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14622'},Hotel Tyrol_0.0.3.apk,at.generalsolutions.contwise.maps.familienhotel_tyrol,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14623'},Fergusons And Canterbury Toyota_4.0.0.apk,au.com.appswiz.fergusonsandcanterburytoyota,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.READ_CALENDAR', 'android.permission.WRITE_CALENDAR', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_CONTACTS', 'android.permission.WRITE_CONTACTS', 'android.permission.GET_ACCOUNTS', 'android.permission.GET_TASKS', 'android.permission.REAL_GET_TASKS', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.READ_PHONE_STATE', 'android.permission.RECORD_VIDEO', 'android.permission.VIBRATE', 'android.permission.WAKE_LOCK', 'android.permission.BROADCAST_STICKY', 'com.google.android.c2dm.permission.RECEIVE', 'au.com.appswiz.fergusonsandcanterburytoyota.permission.C2D_MESSAGE']","['origin~~https://m.facebook.com', 'origin~~https://graph.facebook.com', 'origin~~https://api.facebook.com', 'origin~~https://*.fbcdn.net', 'origin~~https://*.akamaihd.net', 'origin~~*']",[],[],0,0,0
{'$oid': '6080b68132fda25f88a14624'},Landhotel Latscherhof_0.0.41.apk,at.generalsolutions.contwise.maps.landhotel_latscherhof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14625'},Marlena - Juliane_0.0.2.apk,at.generalsolutions.contwise.maps.marlene_juliane,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14626'},Fisheries_1.7.apk,au.com.sra,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']","['origin~~*', 'launch-external~~yes', 'origin~~tel:*', 'launch-external~~yes', 'origin~~mailto:*']",[],[],0,0,0
{'$oid': '6080b68132fda25f88a14627'},Ortlerspitz_0.1.apk,at.generalsolutions.contwise.maps.ortlerspitz,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14628'},Pederü Berggasthaus_0.1.apk,at.generalsolutions.contwise.maps.pederue_berggasthof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14629'},Pension Sachsalber_0.0.24.apk,at.generalsolutions.contwise.maps.pension_sachsalber,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462a'},Quellenhof deluxe_0.0.9.apk,at.generalsolutions.contwise.maps.quellenhof_deluxe,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462b'},SPORT 2000 engelbert_0.1.apk,at.generalsolutions.contwise.maps.sport2000,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462c'},Sailer Kinderhotel_0.0.9.apk,at.generalsolutions.contwise.maps.sailer_kinderhotel,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462d'},Schaller Hof Hotel_0.0.9.apk,at.generalsolutions.contwise.maps.schallerhof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462e'},Seehotel Reschen_0.0.41.apk,at.generalsolutions.contwise.maps.seehotel_reschen,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1462f'},Sittnerhof-Saxifraga_0.1.apk,at.generalsolutions.contwise.maps.sittnerhof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14630'},Sport Hotel exclusive_0.0.2.apk,at.generalsolutions.contwise.maps.sporthotel_exclusive,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14631'},Kids Christmas Puzzles_1.9.1.apk,au.com.espace.puzzle.xmas,"['android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14632'},Unterstell Seilbahn_0.0.9.apk,at.generalsolutions.contwise.maps.seilbahn_untersell,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14633'},Villa Stella Residence_0.0.3.apk,at.generalsolutions.contwise.maps.villa_stella_residence,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14634'},Sportalm Gerlos_0.0.24.apk,at.generalsolutions.contwise.maps.sportalm_gerlos,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14635'},Whats Pixelated_1.7.apk,au.com.espace.whatsPixelated,"['android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14636'},Xander Sporthotel_0.0.8.apk,at.generalsolutions.contwise.maps.xander_sporthotel,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14637'},Music Puzzle_1.7.apk,au.com.espace.puzzle.music,"['android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14638'},ang.barcelonaturisme.barcelonarestaurants.apk,ang.barcelonaturisme.barcelonarestaurants,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE']","['origin~~*', 'launch-external~~yes', 'origin~~mailto:*', 'launch-external~~yes', 'origin~~tel:*']",[],[],0,64,0
{'$oid': '6080b68132fda25f88a14639'},android_wear_micro_apk.apk,nz.co.kiwibank.mobile,['android.permission.WAKE_LOCK'],[],[],[],0,62,0
{'$oid': '6080b68132fda25f88a1463a'},app.id_df3851c64dc64001a2ddc130894c2519.apk,app.id_df3851c64dc64001a2ddc130894c2519,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE']",['origin~~*'],[],[],0,62,0
{'$oid': '6080b68132fda25f88a1463b'},Warringa Park School_4.0.0.apk,au.com.appswiz.warringaparkschool,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.READ_CALENDAR', 'android.permission.WRITE_CALENDAR', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_CONTACTS', 'android.permission.WRITE_CONTACTS', 'android.permission.GET_ACCOUNTS', 'android.permission.GET_TASKS', 'android.permission.REAL_GET_TASKS', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.READ_PHONE_STATE', 'android.permission.RECORD_VIDEO', 'android.permission.VIBRATE', 'android.permission.WAKE_LOCK', 'android.permission.BROADCAST_STICKY', 'com.google.android.c2dm.permission.RECEIVE', 'au.com.appswiz.warringaparkschool.permission.C2D_MESSAGE']","['origin~~https://m.facebook.com', 'origin~~https://graph.facebook.com', 'origin~~https://api.facebook.com', 'origin~~https://*.fbcdn.net', 'origin~~https://*.akamaihd.net', 'origin~~*']",[],[],0,0,0
{'$oid': '6080b68132fda25f88a1463c'},apps.sekurtrack.apk,apps.sekurtrack,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.ACCESS_WIFI_STATE']",[],[],[],0,63,0
{'$oid': '6080b68132fda25f88a1463d'},appinventor.ai_p_tuttoilmondo.Fools.apk,appinventor.ai_p_tuttoilmondo.Fools,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.READ_PHONE_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'appinventor.ai_p_tuttoilmondo.Fools.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE']",['origin~~*'],[],['Trojan.Trojan.Dropper.AndroidOS.Hqwar.bb'],1,62,1
{'$oid': '6080b68132fda25f88a1463e'},ar.gob.buenosaires.comollego.apk,ar.gob.buenosaires.comollego,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE']",[],[],[],0,61,0
{'$oid': '6080b68132fda25f88a1463f'},ar.com.recursiva.appgro.apk,ar.com.recursiva.appgro,"['android.permission.INTERNET', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE']",['origin~~*'],[],[],0,63,0
{'$oid': '6080b68132fda25f88a14640'},army.mil.apk,army.mil,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']","['origin~~*', 'launch-external~~yes', 'origin~~tel:*', 'launch-external~~yes', 'origin~~mailto:*']",[],[],0,60,0
{'$oid': '6080b68132fda25f88a14641'},at.generalsolutions.contwise.maps.almhotel_glieshof.apk,at.generalsolutions.contwise.maps.almhotel_glieshof,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,61,0
{'$oid': '6080b68132fda25f88a14642'},at.generalsolutions.contwise.maps.aktivhotel_waldhof.apk,at.generalsolutions.contwise.maps.aktivhotel_waldhof,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA']",['origin~~*'],[],[],0,62,0
{'$oid': '6080b68132fda25f88a14643'},artiic.adelanteTweetsFree.apk,artiic.adelanteTweetsFree,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'artiic.adelanteTweetsFree.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE']",[],[],[],0,61,0
{'$oid': '6080b68132fda25f88a14644'},at.generalsolutions.contwise.maps.adler_dolomiti.apk,at.generalsolutions.contwise.maps.adler_dolomiti,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,61,0
{'$oid': '6080b68132fda25f88a14645'},at.generalsolutions.contwise.maps.baumwirt.apk,at.generalsolutions.contwise.maps.baumwirt,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,63,0
{'$oid': '6080b68132fda25f88a14646'},at.generalsolutions.contwise.maps.bel_vert.apk,at.generalsolutions.contwise.maps.bel_vert,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,62,0
{'$oid': '6080b68132fda25f88a14647'},at.generalsolutions.contwise.maps.bergrettung.apk,at.generalsolutions.contwise.maps.bergrettung,"['android.permission.CAMERA', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_LOCATION_EXTRA_COMMANDS', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.BROADCAST_STICKY', 'android.permission.READ_LOGS', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.GET_ACCOUNTS']",[],[],[],0,62,0
{'$oid': '6080b68132fda25f88a14648'},at.generalsolutions.contwise.maps.camping_adler.apk,at.generalsolutions.contwise.maps.camping_adler,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,58,0
{'$oid': '6080b68132fda25f88a14649'},at.generalsolutions.contwise.maps.camping_oetztal.apk,at.generalsolutions.contwise.maps.camping_oetztal,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,62,0
{'$oid': '6080b68132fda25f88a1464a'},at.generalsolutions.contwise.maps.camping_corones.apk,at.generalsolutions.contwise.maps.camping_corones,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,62,0
{'$oid': '6080b68132fda25f88a1464b'},at.generalsolutions.contwise.maps.camping_mals.apk,at.generalsolutions.contwise.maps.camping_mals,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,62,0
